zilo_l,zilo_c,eng,rus,pos,remove
beʃen,бешен,bed,постель,Adjective,
oχonib,охониб,hot.pl,горячий.pl,Adjective,
tsi-CL,ци-CL,new,новый,Adjective,
erhani,ергьани,happy,счастливый,Adjective,
CL-it'i,CL-ит1и,straight,прямой,Adjective,
ɡurɡuma,гургума,round,круглый,Adjective,
(b)etʃ'uɡu,(б)еч1угу,gratis,бесплатно,Adjective,
CL-etʃ'uχa,CL-еч1уха,big,большой,Adjective,
udi,уди,deep.pl,глубокий.pl,Adjective,
unsa,унса,warm,теплый,Adjective,
CL-eχula,CL-ехула,long.pl,длинный.pl,Adjective,
ɬolkoɬi,лъолколъи,light,легкий,Adjective,
CL-erts'om,CL-ерц1ом,clean,чистый,Adjective,
ts'iwu,ц1иву,new,новый,Adjective,
qχella,хъелла,thin,худой,Adjective,
(b)iskin,(б)искин,poor,бедный,Adjective,
ɬonor,лъонор,near.pl,близко.pl,Adjective,
CL-etʃ'uɡu,CL-еч1угу,naked,голый,Adjective,
ots'ibul,оц1ибул,satiated.pl,сытый.pl,Adjective,
q'etʃa,къеча,secret,тайный,Adjective,
q'innib,къинниб,stingy,жадный,Adjective,
oloqχan,олохъан,young.obl,молодой.obl,Adjective,
ab,аб,wide,широкий,Adjective,
hiri,гьири,red,красный,Adjective,
CL-iʃol,CL-ишол,thick.pl,толстый.pl,Adjective,
hantʃ'il,гьанч1ил,right,правый,Adjective,
CL-ihu,CL-игьу,a_lot_of,много,Adjective,
badːibit'i,баддибит1и,straight.pl,прямой.pl,Adjective,
buʒuruɬi,бужурулъи,reliable,доверяемый,Adjective,
sodo,содо,cold.pl,холодный.pl,Adjective,
bitonni,битонни,wet,мокрый,Adjective,
tʃ'ant'i,ч1ант1и,shallow.pl,мелкий.pl,Adjective,
CL-etʃ'edir,CL-еч1едир,black.pl,черный.pl,Adjective,
k'oltʃ'itʃ'on,к1олч1ич1он,open,открытый,Adjective,
ɬemu,лъему,watery.pl,жидкий.pl,Adjective,
biha,бигьа,easy,легкий,Adjective,
ɬuna,лъуна,soft,мягкий,Adjective,
oχonib,охониб,hot,горячий,Adjective,
q'ʷak'unnib,къвак1унниб,hard,жесткий,Adjective,
CL-eq'ub,CL-екъуб,dry,сухой,Adjective,
burt'a,бурт1а,rich,богатый,Adjective,
hats'a,гьац1а,white.pl,белый.pl,Adjective,
tʃora,чора,fat,жирный,Adjective,
abol,абол,wide.pl,широкий.pl,Adjective,
hats'a,гьац1а,white,белыи,Adjective,
tʃakːuq'ub,чаккукъуб,orange,оранжевый,Adjective,
CL-eq'ub,CL-екъуб,thick.pl,густой.pl,Adjective,
tʃadi,чади,yellow.pl,желтый.pl,Adjective,
besdal,бесдал,step,сводный,Adjective,
χʷetʃi,хвечи,green.pl,зеленый.pl,Adjective,
tʃakːu,чакку,yellow,желтый,Adjective,
itonnib,итонниб,wet.pl,мокрый.pl,Adjective,
mits'ːa,миц1ц1а,sweet,сладкий,Adjective,
t'ulu,т1улу,bad,плохой,Adjective,
se<CL>ɡulo,се<CL>гуло,not_one,ни_одного,Adjective,
hiri,гьири,red,красный,Adjective,
hok'oru,гьок1ору,heavy,тяжелый,Adjective,
req'u,рекъу,lame.obl,хромой.obl,Adjective,
hok'oru,гьок1ору,heavy.pl,тяжелый.pl,Adjective,
butɬ'in,букьин,bitter,горький,Adjective,
se<CL>ɡulo,се<CL>гуло,not_one.m.obl,ни_одного.m.obl,Adjective,
CL-V-uhuɡu,CL-V-угьугу,a_lot_of,много,Adjective,
botɬ'aral,бокьарал,any,всякий,Adjective,
bat'a,бат1а,different,другой,Adjective,
uts'ij,уц1ий,satiated,сытый,Adjective,
butɬ'in,букьин,bitter.pl,горький.pl,Adjective,
χʷetʃi,хвечи,green,зеленый,Adjective,
q'innib,къинниб,stingy.pl,жадный.pl,Adjective,
ɡurɡuma,гургума,round.pl,круглый.pl,Adjective,
CL-otʃo,CL-очо,short,короткий,Adjective,
ʃu,шу,good,хороший,Adjective,
CL-etʃ'uɡu,CL-еч1угу,empty.pl,пустой.pl,Adjective,
ts'ik'ːu,ц1ик1к1у,acid.pl,кислый.pl,Adjective,
udi,уди,deep,глубокий,Adjective,
mits'ːa,миц1ц1а,sweet.pl,сладкий.pl,Adjective,
tʃ'ant'i,ч1ант1и,shallow,мелкий,Adjective,
CL-etʃ'uχa,CL-еч1уха,big.pl,большой.pl,Adjective,
CL-erts'om,CL-ерц1ом,clean.pl,чистый.pl,Adjective,
q'innib,къинниб,stingy,жадный,Adjective,
χʷanɬi,хванлъи,whole,весь,Adjective,
mitʃ'i,мич1и,small.pl,маленький.pl,Adjective,
sːi,сси,atr,atr,Adjective,aff
saʁi,сагъи,healthy,здоровый,Adjective,
CL-etʃ'uɡu,CL-еч1угу,empty,пустой,Adjective,
oloqχan,олохъан,young,молодой,Adjective,
CL-otʃol,CL-очол,short.pl,короткий.pl,Adjective,
q'ʷak'unnib,къвак1унниб,hard.pl,жесткий.pl,Adjective,
qχʷẽj,хъве̃й,grey.pl,серый.pl,Adjective,
req'u,рекъу,lame.pl.obl,хромой.pl.obl,Adjective,
unsa,унса,warm.pl,теплый.pl,Adjective,
itonnib,итонниб,wet,мокрый,Adjective,
alχutɬi,алхул1и,savage,дикий,Adjective,
arabskij,арабский,Arabic,арабский,Adjective,
tʃakːu,чакку,yellow.pl,желтый.pl,Adjective,
