id,f_type,f_id,translation_en,translation_ru,value,answer,speaker_id,sex,age,tukhum
1,grammar,1,big butterfly,большая бабочка,b-etʃ’uχa,Беч1уха одорук1а,1,f,32,Тахучол
3,grammar,2,big butterflies,большие бабочки,j-etʃ’uχol,Йеч1ухол одорук1ол,1,f,32,Тахучол
5,grammar,3,big grasshopper,большой кузнечик,b-etʃ’uχa,Беч1уха гъац1а,1,f,32,Тахучол
7,grammar,4,big grasshoppers,большие кузнечики,j-etʃ’uχol,Йеч1ухол гъац1ол,1,f,32,Тахучол
10,grammar,5,the parents left,родители ушли,wo-ʔon,ила има ВОъон,1,f,32,Тахучол
11,grammar,6,pour your father some water,налей отцу воды,dada-ɬu,т1инно дадаЛЪУ лъен,1,f,32,Тахучол
13,grammar,7,pour your cow some water,налей корове воды,zĩw-ɬu,т1инно зив(у)ЛЪУ лъен,1,f,32,Тахучол
16,grammar,8,third girl,третья девочка,ɬobdeb,лъобдЕБ йоши,1,f,32,Тахучол
18,grammar,9,the bride was beautiful at the wedding,на свадьбе невеста была красивая,ji-ʁi,реххиноъа бах1арай багъу йиГЪи,1,f,32,Тахучол
20,grammar,10,heels,пятка pl,miʒa-lol,мижаЛОЛ,1,f,32,Тахучол
23,grammar,11,sons-in-law,зять pl,nuso-bdul,нусоБДУЛ,1,f,32,Тахучол
24,grammar,12,they are eating,они кушают,wokoma-do,гьегевул вокомаДО,1,f,32,Тахучол
27,grammar,13,"when he comes, we will eat","когда он придет, будем кушать",wuʔo-rbihi,вуъоРБИГЬИ,1,f,32,Тахучол
29,lexical,14,rainbow,радуга,raduɡa,радуга,1,f,32,Тахучол
32,lexical,15,north,север,sewer,север,1,f,32,Тахучол
36,lexical,16,thousand,тысяча,ozruɡu,озругу,1,f,32,Тахучол
39,grammar,1,big butterfly,большая бабочка,b-etʃ’uχa,Беч1уха одорук1а,2,f,68,Сагитилал
41,grammar,2,big butterflies,большие бабочки,j-etʃ’uχol,Йеч1ухол одорук1ол,2,f,68,Сагитилал
43,grammar,3,big grasshopper,большой кузнечик,b-etʃ’uχa,Беч1уха гъац1а,2,f,68,Сагитилал
45,grammar,4,big grasshoppers,большие кузнечики,j-etʃ’uχol,Йеч1ухол гъац1ол,2,f,68,Сагитилал
48,grammar,5,the parents left,родители ушли,wo-ʔon,ила има ВОъон,2,f,68,Сагитилал
49,grammar,6,pour your father some water,налей отцу воды,dada-ɬu,т1инно дадаЛЪУ лъен,2,f,68,Сагитилал
51,grammar,7,pour your cow some water,налей корове воды,zĩw-ɬu,т1инно зив(у)ЛЪУ лъен,2,f,68,Сагитилал
54,grammar,8,third girl,третья девочка,ɬobdeb,лъобдЕБ йоши,2,f,68,Сагитилал
56,grammar,9,the bride was beautiful at the wedding,на свадьбе невеста была красивая,ji-ʁi,реххиноъа бах1арай багъу йиГЪи,2,f,68,Сагитилал
58,grammar,10,heels,пятка pl,miʒa-lol,мижаЛОЛ,2,f,68,Сагитилал
61,grammar,11,sons-in-law,зять pl,nuso-bdul,нусоБДУЛ,2,f,68,Сагитилал
62,grammar,12,they are eating,они кушают,wokoma-dol,гьегевул вокомаДОЛ,2,f,68,Сагитилал
65,grammar,13,"when he comes, we will eat","когда он придет, будем кушать",wuʔo-rbihi,вуъоРБИГЬИ,2,f,68,Сагитилал
68,lexical,14,rainbow,радуга,hortʃ'ːi,сороди гьорч1ч1и йичонний,2,f,68,Сагитилал
71,lexical,15,north,север,sewer,север,2,f,68,Сагитилал
76,lexical,16,thousand,тысяча,oziruɡu,озИругу,2,f,68,Сагитилал
77,grammar,1,big butterfly,большая бабочка,b-etʃ’uχa,Беч1уха одорук1а,3,f,58,"Айчол, Нухилал (ж)"
79,grammar,2,big butterflies,большие бабочки,j-etʃ’uχol,Йеч1ухол одорук1ол,3,f,58,"Айчол, Нухилал (ж)"
81,grammar,3,big grasshopper,большой кузнечик,b-etʃ’uχa,Беч1уха гъац1а,3,f,58,"Айчол, Нухилал (ж)"
83,grammar,4,big grasshoppers,большие кузнечики,j-etʃ’uχol,Йеч1ухол гъац1ол,3,f,58,"Айчол, Нухилал (ж)"
85,grammar,5,the parents left,родители ушли,ru-ʔon,ила има РУъон,3,f,58,"Айчол, Нухилал (ж)"
87,grammar,6,pour your father some water,налей отцу воды,dada-ɬu,т1инно дадаЛЪУ лъен,3,f,58,"Айчол, Нухилал (ж)"
89,grammar,7,pour your cow some water,налей корове воды,zĩw-ɬu,т1инно зив(у)ЛЪУ лъен,3,f,58,"Айчол, Нухилал (ж)"
92,grammar,8,third girl,третья девочка,ɬobdeb,лъобдЕБ йоши,3,f,58,"Айчол, Нухилал (ж)"
94,grammar,9,the bride was beautiful at the wedding,на свадьбе невеста была красивая,ji-ʁi,реххиноъа бах1арай багъу йиГЪи,3,f,58,"Айчол, Нухилал (ж)"
96,grammar,10,heels,пятка pl,miʒa-lol,мижаЛОЛ,3,f,58,"Айчол, Нухилал (ж)"
99,grammar,11,sons-in-law,зять pl,nuso-bdul,нусоБДУЛ,3,f,58,"Айчол, Нухилал (ж)"
100,grammar,12,they are eating,они кушают,wokoma-do,гьегевул вокомаДО,3,f,58,"Айчол, Нухилал (ж)"
104,grammar,13,"when he comes, we will eat","когда он придет, будем кушать",wuʔo-brihi,вуъоБРИГЬИ,3,f,58,"Айчол, Нухилал (ж)"
106,lexical,14,rainbow,радуга,hortʃ'ːi,сороди гьорч1ч1и йичонний,3,f,58,"Айчол, Нухилал (ж)"
109,lexical,15,north,север,sewer,север,3,f,58,"Айчол, Нухилал (ж)"
113,lexical,16,thousand,тысяча,ozuruɡu,озУругу,3,f,58,"Айчол, Нухилал (ж)"
116,grammar,1,big butterfly,большая бабочка,r-etʃ’uχa,Реч1уха одорук1а,4,m,42,NA
117,grammar,2,big butterflies,большие бабочки,j-etʃ’uχol,Йеч1ухол одорук1ол,4,m,42,NA
119,grammar,3,big grasshopper,большой кузнечик,b-etʃ’uχa,Беч1уха гъац1а,4,m,42,NA
